"Source","Target","Citation.Count","Source.Type","Source.Year"
30400273,28344080,0,"Paper",2018
30400273,29182528,0,"Paper",2018
30400273,26076956,0,"Paper",2018
30400273,28334140,0,"Paper",2018
30400273,29044517,0,"Paper",2018
30400273,29523209,0,"Paper",2018
30400273,25768908,0,"Paper",2018
30400273,28984197,0,"Paper",2018
30400273,29416711,0,"Paper",2018
30400273,26657634,0,"Paper",2018
30400273,28082450,0,"Paper",2018
30400273,27739534,0,"Paper",2018
30400273,24039610,0,"Paper",2018
30400273,29159270,0,"Paper",2018
30400273,30080426,0,"Paper",2018
30400273,26873092,0,"Paper",2018
30400273,28281539,0,"Paper",2018
30400273,23249747,0,"Paper",2018
30400273,27476877,0,"Paper",2018
30400273,27068474,0,"Paper",2018
30400273,30259355,0,"Paper",2018
30400273,28625551,0,"Paper",2018
30400273,27365365,0,"Paper",2018
30400273,23446346,0,"Paper",2018
30400273,25242144,0,"Paper",2018
30400273,28676412,0,"Paper",2018
30400273,28594838,0,"Paper",2018
30400273,28079129,0,"Paper",2018
30400273,29642686,0,"Paper",2018
30400273,25544350,0,"Paper",2018
30400273,26998750,0,"Paper",2018
30400273,28498369,0,"Paper",2018
30400273,29980667,0,"Paper",2018
30400273,25242744,0,"Paper",2018
30400273,27373735,0,"Paper",2018
30400273,27609688,0,"Paper",2018
30400273,29109781,0,"Paper",2018
30400273,28344082,0,"Paper",2018
30400273,21964070,0,"Paper",2018
30400273,29868120,0,"Paper",2018
30400273,25070500,0,"Paper",2018
30400273,25449546,0,"Paper",2018
30400273,29072698,0,"Paper",2018
30400273,25714049,0,"Paper",2018
30396163,30396163,0,"Paper",2018
30396080,30396080,0,"Paper",2019
30395908,30395908,0,"Paper",2019
30391514,30391514,0,"Paper",2019
30388035,30388035,0,"Paper",2018
30387298,30387298,0,"Paper",2019
30385313,30385313,0,"Paper",2018
30384427,30384427,0,"Paper",2018
30384427,27986464,0,"Paper",2018
30384427,29364478,0,"Paper",2018
30384427,27928058,0,"Paper",2018
30384427,27429839,0,"Paper",2018
30384427,24609083,0,"Paper",2018
30384427,29700306,0,"Paper",2018
30384427,24339831,0,"Paper",2018
30384427,25404635,0,"Paper",2018
30384427,28535767,0,"Paper",2018
30384427,27886165,0,"Paper",2018
30384427,23249747,0,"Paper",2018
30384427,28831102,0,"Paper",2018
30384427,29554887,0,"Paper",2018
30384427,23446346,0,"Paper",2018
30384427,29658599,0,"Paper",2018
30384427,29620241,0,"Paper",2018
30384427,30030469,0,"Paper",2018
30384427,26861625,0,"Paper",2018
30382592,30382592,0,"Paper",2019
30379383,30379383,0,"Paper",2018
30378537,30378537,0,"Paper",2018
30376358,30376358,0,"Paper",2018
30370529,30370529,0,"Paper",2018
30370521,30370521,0,"Paper",2019
30369271,30369271,0,"Paper",2018
30368217,30368217,0,"Paper",2018
30368217,28682884,0,"Paper",2018
30368217,27612318,0,"Paper",2018
30368217,24297251,0,"Paper",2018
30368217,27539542,0,"Paper",2018
30368217,26802132,0,"Paper",2018
30368217,28412345,0,"Paper",2018
30368217,26138677,0,"Paper",2018
30368217,28779016,0,"Paper",2018
30368217,27050392,0,"Paper",2018
30368217,25921068,0,"Paper",2018
30368217,27588005,0,"Paper",2018
30368217,28571741,0,"Paper",2018
30368217,30053265,0,"Paper",2018
30368217,28095716,0,"Paper",2018
30368217,23446348,0,"Paper",2018
30368217,29037607,0,"Paper",2018
